,solar,grid,savings
0,59.943348,373.72733,313.78397
1,50.381783,313.63986,263.2581
2,44.01522,273.63068,229.61545
3,24.475342,150.83678,126.361435
4,64.04413,399.49774,335.4536
5,28.277086,174.72798,146.4509
6,47.5217,295.66635,248.14465
7,19.42132,119.075935,99.65462
8,37.575348,233.16077,195.58542
9,32.826263,203.31624,170.48997
10,40.009804,248.45953,208.44974
11,46.283833,287.88724,241.60341
12,19.581367,120.081726,100.50036
13,46.022785,286.24677,240.22398
14,60.593754,377.81467,317.22092
15,25.338192,156.25917,130.92097
16,62.922985,392.45218,329.5292
17,64.37074,401.5503,337.17957
18,35.911,222.70154,186.79054
19,46.463097,289.0138,242.55069
20,27.147398,167.62871,140.48131
21,53.65808,334.229,280.57092
22,56.285965,350.74335,294.4574
23,38.444294,238.62144,200.17715
24,20.811052,127.80939,106.99834
25,39.476086,245.10553,205.62944
26,57.6681,359.42905,301.76096
27,46.40139,288.626,242.22461
28,31.195154,193.0659,161.87074
29,59.879147,373.32385,313.4447
30,41.327976,256.7433,215.41531
31,37.661983,233.70522,196.04323
32,29.741817,183.93274,154.19092
33,21.158695,129.99408,108.83539
34,30.599627,189.32344,158.72382
35,28.26641,174.66089,146.39447
36,57.980812,361.39423,303.41342
37,41.221657,256.07516,214.85352
38,46.759468,290.87628,244.11682
39,26.141653,161.30833,135.16669
40,59.325726,369.84604,310.52032
41,28.349707,175.18434,146.83464
42,48.83423,303.9146,255.08038
43,57.69314,359.5864,301.89325
44,39.894997,247.73807,207.84308
45,57.147022,356.15445,299.00742
46,62.961742,392.69574,329.734
47,22.023031,135.42581,113.40278
48,40.719975,252.92245,212.20248
49,25.441479,156.90825,131.46677
50,65.50856,408.70062,343.19208
51,60.367836,376.39493,316.0271
52,42.78947,265.9277,223.13823
53,46.20903,287.41718,241.20815
54,27.313797,168.67441,141.36061
55,53.274452,331.81818,278.54373
56,58.076694,361.99677,303.92007
57,36.87149,228.73753,191.86604
58,44.641182,277.5644,232.92322
59,48.98187,304.84244,255.86057
60,35.514942,220.21262,184.69768
61,42.647682,265.03668,222.389
62,32.800014,203.15128,170.35126
63,39.835396,247.36353,207.52814
64,58.239445,363.01953,304.7801
65,55.16039,343.66992,288.50952
66,58.2745,363.23987,304.96536
67,48.40402,301.21106,252.80704
68,56.967403,355.0257,298.0583
69,40.50228,251.5544,211.05212
70,21.080193,129.50075,108.420555
71,63.83492,398.183,334.34808
72,60.813133,379.1933,318.38016
73,28.270248,174.685,146.41475
74,41.625454,258.61273,216.98727
75,35.22681,218.40193,183.17513
76,20.982115,128.8844,107.90228
77,51.908253,323.2326,271.32434
78,31.061153,192.2238,161.16264
79,27.601473,170.48224,142.88077
80,30.584524,189.22853,158.64401
81,55.094757,343.25748,288.16272
82,53.373596,332.44122,279.06763
83,21.188665,130.18242,108.99375
84,59.00439,367.82666,308.82227
85,37.129787,229.95828,192.82849
86,51.782616,322.44308,270.66046
87,38.796024,240.83182,202.0358
88,31.262938,193.49187,162.22893
89,37.93089,235.39508,197.46419
90,35.038696,217.21977,182.18108
91,36.405796,225.81097,189.40518
92,18.733349,114.75255,96.019196
93,52.964478,329.8702,276.90573
94,43.405384,269.7983,226.39293
95,28.187553,174.16533,145.97778
96,52.29815,325.68283,273.38467
